"region","år","Folkmängd"
"01 Stockholms län","1991",1654511
"01 Stockholms län","1992",1669840
"01 Stockholms län","1993",1686230
"01 Stockholms län","1994",1708502
"01 Stockholms län","1995",1725756
"01 Stockholms län","1996",1744330
"01 Stockholms län","1997",1762924
"01 Stockholms län","1998",1783440
"01 Stockholms län","1999",1803377
"01 Stockholms län","2000",1823210
"01 Stockholms län","2001",1838882
"01 Stockholms län","2002",1850467
"01 Stockholms län","2003",1860872
"01 Stockholms län","2004",1872900
"01 Stockholms län","2005",1889945
"01 Stockholms län","2006",1918104
"01 Stockholms län","2007",1949516
"01 Stockholms län","2008",1981263
"01 Stockholms län","2009",2019182
"01 Stockholms län","2010",2054343
"01 Stockholms län","2011",2091473
"01 Stockholms län","2012",2127006
"01 Stockholms län","2013",2163042
"01 Stockholms län","2014",2198044
"01 Stockholms län","2015",2231439
"01 Stockholms län","2016",2269060
"01 Stockholms län","2017",2308143
"01 Stockholms län","2018",2344124
"01 Stockholms län","2019",2377081
"01 Stockholms län","2020",2391990
"01 Stockholms län","2021",2415139
"01 Stockholms län","2022",2440027
"01 Stockholms län","2023",2454821
"03 Uppsala län","1991",273918
"03 Uppsala län","1992",278610
"03 Uppsala län","1993",283006
"03 Uppsala län","1994",286642
"03 Uppsala län","1995",288475
"03 Uppsala län","1996",289153
"03 Uppsala län","1997",290473
"03 Uppsala län","1998",291413
"03 Uppsala län","1999",292415
"03 Uppsala län","2000",294196
"03 Uppsala län","2001",296627
"03 Uppsala län","2002",298655
"03 Uppsala län","2003",300495
"03 Uppsala län","2004",302564
"03 Uppsala län","2005",304367
"03 Uppsala län","2006",319925
"03 Uppsala län","2007",323270
"03 Uppsala län","2008",327188
"03 Uppsala län","2009",331898
"03 Uppsala län","2010",335882
"03 Uppsala län","2011",338630
"03 Uppsala län","2012",341977
"03 Uppsala län","2013",345481
"03 Uppsala län","2014",348942
"03 Uppsala län","2015",354164
"03 Uppsala län","2016",361373
"03 Uppsala län","2017",368971
"03 Uppsala län","2018",376354
"03 Uppsala län","2019",383713
"03 Uppsala län","2020",388394
"03 Uppsala län","2021",395026
"03 Uppsala län","2022",400682
"03 Uppsala län","2023",404589
"04 Södermanlands län","1991",256818
"04 Södermanlands län","1992",257858
"04 Södermanlands län","1993",259199
"04 Södermanlands län","1994",259793
"04 Södermanlands län","1995",258700
"04 Södermanlands län","1996",257383
"04 Södermanlands län","1997",256870
"04 Södermanlands län","1998",256269
"04 Södermanlands län","1999",255890
"04 Södermanlands län","2000",256033
"04 Södermanlands län","2001",257220
"04 Södermanlands län","2002",259006
"04 Södermanlands län","2003",260380
"04 Södermanlands län","2004",261070
"04 Södermanlands län","2005",261895
"04 Södermanlands län","2006",263099
"04 Södermanlands län","2007",265190
"04 Södermanlands län","2008",267524
"04 Södermanlands län","2009",269053
"04 Södermanlands län","2010",270738
"04 Södermanlands län","2011",272563
"04 Södermanlands län","2012",274723
"04 Södermanlands län","2013",277569
"04 Södermanlands län","2014",280666
"04 Södermanlands län","2015",283712
"04 Södermanlands län","2016",288097
"04 Södermanlands län","2017",291341
"04 Södermanlands län","2018",294695
"04 Södermanlands län","2019",297540
"04 Södermanlands län","2020",299401
"04 Södermanlands län","2021",301801
"04 Södermanlands län","2022",302566
"04 Södermanlands län","2023",301944
"05 Östergötlands län","1991",406100
"05 Östergötlands län","1992",408268
"05 Östergötlands län","1993",411212
"05 Östergötlands län","1994",415603
"05 Östergötlands län","1995",416443
"05 Östergötlands län","1996",415659
"05 Östergötlands län","1997",414360
"05 Östergötlands län","1998",412411
"05 Östergötlands län","1999",411320
"05 Östergötlands län","2000",411345
"05 Östergötlands län","2001",412363
"05 Östergötlands län","2002",413438
"05 Östergötlands län","2003",414897
"05 Östergötlands län","2004",415990
"05 Östergötlands län","2005",416303
"05 Östergötlands län","2006",417966
"05 Östergötlands län","2007",420809
"05 Östergötlands län","2008",423169
"05 Östergötlands län","2009",427106
"05 Östergötlands län","2010",429642
"05 Östergötlands län","2011",431075
"05 Östergötlands län","2012",433784
"05 Östergötlands län","2013",437848
"05 Östergötlands län","2014",442105
"05 Östergötlands län","2015",445661
"05 Östergötlands län","2016",452105
"05 Östergötlands län","2017",457496
"05 Östergötlands län","2018",461583
"05 Östergötlands län","2019",465495
"05 Östergötlands län","2020",467158
"05 Östergötlands län","2021",469704
"05 Östergötlands län","2022",471912
"05 Östergötlands län","2023",472298
"06 Jönköpings län","1991",326653
"06 Jönköpings län","1992",326852
"06 Jönköpings län","1993",327920
"06 Jönköpings län","1994",329406
"06 Jönköpings län","1995",329595
"06 Jönköpings län","1996",328726
"06 Jönköpings län","1997",328068
"06 Jönköpings län","1998",328059
"06 Jönköpings län","1999",327266
"06 Jönköpings län","2000",327829
"06 Jönköpings län","2001",327824
"06 Jönköpings län","2002",327971
"06 Jönköpings län","2003",328659
"06 Jönköpings län","2004",329297
"06 Jönköpings län","2005",330179
"06 Jönköpings län","2006",331539
"06 Jönköpings län","2007",333610
"06 Jönköpings län","2008",335246
"06 Jönköpings län","2009",336044
"06 Jönköpings län","2010",336866
"06 Jönköpings län","2011",337896
"06 Jönköpings län","2012",339116
"06 Jönköpings län","2013",341235
"06 Jönköpings län","2014",344262
"06 Jönköpings län","2015",347837
"06 Jönköpings län","2016",352735
"06 Jönköpings län","2017",357237
"06 Jönköpings län","2018",360825
"06 Jönköpings län","2019",363599
"06 Jönköpings län","2020",365010
"06 Jönköpings län","2021",367064
"06 Jönköpings län","2022",369113
"06 Jönköpings län","2023",368856
"07 Kronobergs län","1991",178612
"07 Kronobergs län","1992",178961
"07 Kronobergs län","1993",179649
"07 Kronobergs län","1994",180747
"07 Kronobergs län","1995",180377
"07 Kronobergs län","1996",179655
"07 Kronobergs län","1997",179021
"07 Kronobergs län","1998",178078
"07 Kronobergs län","1999",177149
"07 Kronobergs län","2000",176639
"07 Kronobergs län","2001",176582
"07 Kronobergs län","2002",176978
"07 Kronobergs län","2003",177448
"07 Kronobergs län","2004",178285
"07 Kronobergs län","2005",178443
"07 Kronobergs län","2006",179635
"07 Kronobergs län","2007",180787
"07 Kronobergs län","2008",182224
"07 Kronobergs län","2009",183162
"07 Kronobergs län","2010",183940
"07 Kronobergs län","2011",184654
"07 Kronobergs län","2012",185887
"07 Kronobergs län","2013",187156
"07 Kronobergs län","2014",189128
"07 Kronobergs län","2015",191369
"07 Kronobergs län","2016",194628
"07 Kronobergs län","2017",197519
"07 Kronobergs län","2018",199886
"07 Kronobergs län","2019",201469
"07 Kronobergs län","2020",202263
"07 Kronobergs län","2021",203340
"07 Kronobergs län","2022",204335
"07 Kronobergs län","2023",203686
"08 Kalmar län","1991",241883
"08 Kalmar län","1992",241912
"08 Kalmar län","1993",242528
"08 Kalmar län","1994",244057
"08 Kalmar län","1995",243372
"08 Kalmar län","1996",241896
"08 Kalmar län","1997",240160
"08 Kalmar län","1998",238104
"08 Kalmar län","1999",236501
"08 Kalmar län","2000",235391
"08 Kalmar län","2001",234697
"08 Kalmar län","2002",234627
"08 Kalmar län","2003",234886
"08 Kalmar län","2004",234496
"08 Kalmar län","2005",233944
"08 Kalmar län","2006",233776
"08 Kalmar län","2007",233834
"08 Kalmar län","2008",233397
"08 Kalmar län","2009",233639
"08 Kalmar län","2010",233536
"08 Kalmar län","2011",233090
"08 Kalmar län","2012",233548
"08 Kalmar län","2013",233874
"08 Kalmar län","2014",235598
"08 Kalmar län","2015",237679
"08 Kalmar län","2016",242301
"08 Kalmar län","2017",243536
"08 Kalmar län","2018",244670
"08 Kalmar län","2019",245446
"08 Kalmar län","2020",246010
"08 Kalmar län","2021",247175
"08 Kalmar län","2022",247711
"08 Kalmar län","2023",246667
"09 Gotlands län","1991",57383
"09 Gotlands län","1992",57578
"09 Gotlands län","1993",57751
"09 Gotlands län","1994",58237
"09 Gotlands län","1995",58120
"09 Gotlands län","1996",57971
"09 Gotlands län","1997",57791
"09 Gotlands län","1998",57643
"09 Gotlands län","1999",57428
"09 Gotlands län","2000",57313
"09 Gotlands län","2001",57412
"09 Gotlands län","2002",57381
"09 Gotlands län","2003",57535
"09 Gotlands län","2004",57661
"09 Gotlands län","2005",57488
"09 Gotlands län","2006",57297
"09 Gotlands län","2007",57122
"09 Gotlands län","2008",57004
"09 Gotlands län","2009",57221
"09 Gotlands län","2010",57269
"09 Gotlands län","2011",57308
"09 Gotlands län","2012",57241
"09 Gotlands län","2013",57161
"09 Gotlands län","2014",57255
"09 Gotlands län","2015",57391
"09 Gotlands län","2016",58003
"09 Gotlands län","2017",58595
"09 Gotlands län","2018",59249
"09 Gotlands län","2019",59686
"09 Gotlands län","2020",60124
"09 Gotlands län","2021",61001
"09 Gotlands län","2022",61173
"09 Gotlands län","2023",61029
"10 Blekinge län","1991",151168
"10 Blekinge län","1992",151266
"10 Blekinge län","1993",151853
"10 Blekinge län","1994",153016
"10 Blekinge län","1995",152737
"10 Blekinge län","1996",151972
"10 Blekinge län","1997",151692
"10 Blekinge län","1998",151414
"10 Blekinge län","1999",150625
"10 Blekinge län","2000",150392
"10 Blekinge län","2001",150017
"10 Blekinge län","2002",149875
"10 Blekinge län","2003",149889
"10 Blekinge län","2004",150335
"10 Blekinge län","2005",150696
"10 Blekinge län","2006",151436
"10 Blekinge län","2007",151900
"10 Blekinge län","2008",152259
"10 Blekinge län","2009",152591
"10 Blekinge län","2010",153227
"10 Blekinge län","2011",152979
"10 Blekinge län","2012",152315
"10 Blekinge län","2013",152757
"10 Blekinge län","2014",154157
"10 Blekinge län","2015",156253
"10 Blekinge län","2016",158453
"10 Blekinge län","2017",159371
"10 Blekinge län","2018",159684
"10 Blekinge län","2019",159606
"10 Blekinge län","2020",159056
"10 Blekinge län","2021",158937
"10 Blekinge län","2022",158740
"10 Blekinge län","2023",157973
"12 Skåne län","1991",1078225
"12 Skåne län","1992",1086689
"12 Skåne län","1993",1093367
"12 Skåne län","1994",1105986
"12 Skåne län","1995",1111731
"12 Skåne län","1996",1114368
"12 Skåne län","1997",1116603
"12 Skåne län","1998",1120426
"12 Skåne län","1999",1123786
"12 Skåne län","2000",1129424
"12 Skåne län","2001",1136571
"12 Skåne län","2002",1145090
"12 Skåne län","2003",1152697
"12 Skåne län","2004",1160919
"12 Skåne län","2005",1169464
"12 Skåne län","2006",1184500
"12 Skåne län","2007",1199357
"12 Skåne län","2008",1214758
"12 Skåne län","2009",1231062
"12 Skåne län","2010",1243329
"12 Skåne län","2011",1252933
"12 Skåne län","2012",1263088
"12 Skåne län","2013",1274069
"12 Skåne län","2014",1288908
"12 Skåne län","2015",1303627
"12 Skåne län","2016",1324565
"12 Skåne län","2017",1344689
"12 Skåne län","2018",1362164
"12 Skåne län","2019",1377827
"12 Skåne län","2020",1389336
"12 Skåne län","2021",1402425
"12 Skåne län","2022",1414324
"12 Skåne län","2023",1421781
"13 Hallands län","1991",257874
"13 Hallands län","1992",261172
"13 Hallands län","1993",264607
"13 Hallands län","1994",268067
"13 Hallands län","1995",269338
"13 Hallands län","1996",270060
"13 Hallands län","1997",271325
"13 Hallands län","1998",272539
"13 Hallands län","1999",273537
"13 Hallands län","2000",275004
"13 Hallands län","2001",276653
"13 Hallands län","2002",278551
"13 Hallands län","2003",281322
"13 Hallands län","2004",283788
"13 Hallands län","2005",285868
"13 Hallands län","2006",288859
"13 Hallands län","2007",291393
"13 Hallands län","2008",293572
"13 Hallands län","2009",296825
"13 Hallands län","2010",299484
"13 Hallands län","2011",301724
"13 Hallands län","2012",304116
"13 Hallands län","2013",306840
"13 Hallands län","2014",310665
"13 Hallands län","2015",314784
"13 Hallands län","2016",320333
"13 Hallands län","2017",324825
"13 Hallands län","2018",329352
"13 Hallands län","2019",333848
"13 Hallands län","2020",336748
"13 Hallands län","2021",340243
"13 Hallands län","2022",342805
"13 Hallands län","2023",343746
"14 Västra Götalands län","1991",1448056
"14 Västra Götalands län","1992",1455645
"14 Västra Götalands län","1993",1464073
"14 Västra Götalands län","1994",1477370
"14 Västra Götalands län","1995",1482501
"14 Västra Götalands län","1996",1485014
"14 Västra Götalands län","1997",1485611
"14 Västra Götalands län","1998",1486918
"14 Västra Götalands län","1999",1488709
"14 Västra Götalands län","2000",1494641
"14 Västra Götalands län","2001",1500857
"14 Västra Götalands län","2002",1508230
"14 Västra Götalands län","2003",1514992
"14 Västra Götalands län","2004",1521895
"14 Västra Götalands län","2005",1528455
"14 Västra Götalands län","2006",1538284
"14 Västra Götalands län","2007",1547298
"14 Västra Götalands län","2008",1558130
"14 Västra Götalands län","2009",1569458
"14 Västra Götalands län","2010",1580297
"14 Västra Götalands län","2011",1590604
"14 Västra Götalands län","2012",1600447
"14 Västra Götalands län","2013",1615084
"14 Västra Götalands län","2014",1632012
"14 Västra Götalands län","2015",1648682
"14 Västra Götalands län","2016",1671783
"14 Västra Götalands län","2017",1690782
"14 Västra Götalands län","2018",1709814
"14 Västra Götalands län","2019",1725881
"14 Västra Götalands län","2020",1734443
"14 Västra Götalands län","2021",1744859
"14 Västra Götalands län","2022",1758656
"14 Västra Götalands län","2023",1767016
"17 Värmlands län","1991",284187
"17 Värmlands län","1992",284691
"17 Värmlands län","1993",285220
"17 Värmlands län","1994",285498
"17 Värmlands län","1995",284011
"17 Värmlands län","1996",282147
"17 Värmlands län","1997",280178
"17 Värmlands län","1998",278313
"17 Värmlands län","1999",276600
"17 Värmlands län","2000",275003
"17 Värmlands län","2001",273933
"17 Värmlands län","2002",273419
"17 Värmlands län","2003",273563
"17 Värmlands län","2004",273547
"17 Värmlands län","2005",273288
"17 Värmlands län","2006",273489
"17 Värmlands län","2007",273826
"17 Värmlands län","2008",273374
"17 Värmlands län","2009",273257
"17 Värmlands län","2010",273265
"17 Värmlands län","2011",272736
"17 Värmlands län","2012",273080
"17 Värmlands län","2013",273815
"17 Värmlands län","2014",274691
"17 Värmlands län","2015",275904
"17 Värmlands län","2016",279334
"17 Värmlands län","2017",280399
"17 Värmlands län","2018",281482
"17 Värmlands län","2019",282414
"17 Värmlands län","2020",282885
"17 Värmlands län","2021",283196
"17 Värmlands län","2022",283976
"17 Värmlands län","2023",283548
"18 Örebro län","1991",273608
"18 Örebro län","1992",274325
"18 Örebro län","1993",275532
"18 Örebro län","1994",276828
"18 Örebro län","1995",276417
"18 Örebro län","1996",275855
"18 Örebro län","1997",275163
"18 Örebro län","1998",274584
"18 Örebro län","1999",273822
"18 Örebro län","2000",273615
"18 Örebro län","2001",273137
"18 Örebro län","2002",273412
"18 Örebro län","2003",273935
"18 Örebro län","2004",273920
"18 Örebro län","2005",274121
"18 Örebro län","2006",275030
"18 Örebro län","2007",276067
"18 Örebro län","2008",277732
"18 Örebro län","2009",278882
"18 Örebro län","2010",280230
"18 Örebro län","2011",281572
"18 Örebro län","2012",283113
"18 Örebro län","2013",285395
"18 Örebro län","2014",288150
"18 Örebro län","2015",291012
"18 Örebro län","2016",294941
"18 Örebro län","2017",298907
"18 Örebro län","2018",302252
"18 Örebro län","2019",304805
"18 Örebro län","2020",305643
"18 Örebro län","2021",306792
"18 Örebro län","2022",307772
"18 Örebro län","2023",308116
"19 Västmanlands län","1991",259438
"19 Västmanlands län","1992",260096
"19 Västmanlands län","1993",260932
"19 Västmanlands län","1994",261753
"19 Västmanlands län","1995",261101
"19 Västmanlands län","1996",259987
"19 Västmanlands län","1997",258541
"19 Västmanlands län","1998",257661
"19 Västmanlands län","1999",256901
"19 Västmanlands län","2000",256889
"19 Västmanlands län","2001",257957
"19 Västmanlands län","2002",258912
"19 Västmanlands län","2003",260134
"19 Västmanlands län","2004",261005
"19 Västmanlands län","2005",261391
"19 Västmanlands län","2006",248489
"19 Västmanlands län","2007",249193
"19 Västmanlands län","2008",249974
"19 Västmanlands län","2009",251353
"19 Västmanlands län","2010",252756
"19 Västmanlands län","2011",254257
"19 Västmanlands län","2012",256224
"19 Västmanlands län","2013",259054
"19 Västmanlands län","2014",261703
"19 Västmanlands län","2015",264276
"19 Västmanlands län","2016",267629
"19 Västmanlands län","2017",271095
"19 Västmanlands län","2018",273929
"19 Västmanlands län","2019",275845
"19 Västmanlands län","2020",277141
"19 Västmanlands län","2021",278967
"19 Västmanlands län","2022",280713
"19 Västmanlands län","2023",280813
"20 Dalarnas län","1991",290388
"20 Dalarnas län","1992",290245
"20 Dalarnas län","1993",290515
"20 Dalarnas län","1994",291203
"20 Dalarnas län","1995",289956
"20 Dalarnas län","1996",288171
"20 Dalarnas län","1997",285232
"20 Dalarnas län","1998",282898
"20 Dalarnas län","1999",280575
"20 Dalarnas län","2000",278259
"20 Dalarnas län","2001",277010
"20 Dalarnas län","2002",276636
"20 Dalarnas län","2003",276520
"20 Dalarnas län","2004",276042
"20 Dalarnas län","2005",275755
"20 Dalarnas län","2006",275711
"20 Dalarnas län","2007",275618
"20 Dalarnas län","2008",275867
"20 Dalarnas län","2009",276454
"20 Dalarnas län","2010",277047
"20 Dalarnas län","2011",276565
"20 Dalarnas län","2012",276555
"20 Dalarnas län","2013",277349
"20 Dalarnas län","2014",278903
"20 Dalarnas län","2015",281028
"20 Dalarnas län","2016",284531
"20 Dalarnas län","2017",286165
"20 Dalarnas län","2018",287191
"20 Dalarnas län","2019",287966
"20 Dalarnas län","2020",287676
"20 Dalarnas län","2021",288387
"20 Dalarnas län","2022",288310
"20 Dalarnas län","2023",287253
"21 Gävleborgs län","1991",289339
"21 Gävleborgs län","1992",289190
"21 Gävleborgs län","1993",289612
"21 Gävleborgs län","1994",289654
"21 Gävleborgs län","1995",288509
"21 Gävleborgs län","1996",286789
"21 Gävleborgs län","1997",284636
"21 Gävleborgs län","1998",282226
"21 Gävleborgs län","1999",280717
"21 Gävleborgs län","2000",279262
"21 Gävleborgs län","2001",278171
"21 Gävleborgs län","2002",277012
"21 Gävleborgs län","2003",276866
"21 Gävleborgs län","2004",276599
"21 Gävleborgs län","2005",275994
"21 Gävleborgs län","2006",275653
"21 Gävleborgs län","2007",275556
"21 Gävleborgs län","2008",275908
"21 Gävleborgs län","2009",276220
"21 Gävleborgs län","2010",276508
"21 Gävleborgs län","2011",276130
"21 Gävleborgs län","2012",276637
"21 Gävleborgs län","2013",277970
"21 Gävleborgs län","2014",279991
"21 Gävleborgs län","2015",281815
"21 Gävleborgs län","2016",284586
"21 Gävleborgs län","2017",285637
"21 Gävleborgs län","2018",286547
"21 Gävleborgs län","2019",287382
"21 Gävleborgs län","2020",287502
"21 Gävleborgs län","2021",287767
"21 Gävleborgs län","2022",287334
"21 Gävleborgs län","2023",285642
"22 Västernorrlands län","1991",261280
"22 Västernorrlands län","1992",260829
"22 Västernorrlands län","1993",260567
"22 Västernorrlands län","1994",260295
"22 Västernorrlands län","1995",258290
"22 Västernorrlands län","1996",256587
"22 Västernorrlands län","1997",254354
"22 Västernorrlands län","1998",251884
"22 Västernorrlands län","1999",249299
"22 Västernorrlands län","2000",246903
"22 Västernorrlands län","2001",245078
"22 Västernorrlands län","2002",244319
"22 Västernorrlands län","2003",244105
"22 Västernorrlands län","2004",244195
"22 Västernorrlands län","2005",243736
"22 Västernorrlands län","2006",243978
"22 Västernorrlands län","2007",243449
"22 Västernorrlands län","2008",243372
"22 Västernorrlands län","2009",243042
"22 Västernorrlands län","2010",242625
"22 Västernorrlands län","2011",242155
"22 Västernorrlands län","2012",241981
"22 Västernorrlands län","2013",242156
"22 Västernorrlands län","2014",243061
"22 Västernorrlands län","2015",243897
"22 Västernorrlands län","2016",245572
"22 Västernorrlands län","2017",245968
"22 Västernorrlands län","2018",245453
"22 Västernorrlands län","2019",245347
"22 Västernorrlands län","2020",244554
"22 Västernorrlands län","2021",244193
"22 Västernorrlands län","2022",243265
"22 Västernorrlands län","2023",242148
"23 Jämtlands län","1991",136009
"23 Jämtlands län","1992",135910
"23 Jämtlands län","1993",136073
"23 Jämtlands län","1994",136301
"23 Jämtlands län","1995",135584
"23 Jämtlands län","1996",134561
"23 Jämtlands län","1997",133143
"23 Jämtlands län","1998",131766
"23 Jämtlands län","1999",130705
"23 Jämtlands län","2000",129566
"23 Jämtlands län","2001",128586
"23 Jämtlands län","2002",127947
"23 Jämtlands län","2003",127645
"23 Jämtlands län","2004",127424
"23 Jämtlands län","2005",127028
"23 Jämtlands län","2006",127020
"23 Jämtlands län","2007",126937
"23 Jämtlands län","2008",126897
"23 Jämtlands län","2009",126666
"23 Jämtlands län","2010",126691
"23 Jämtlands län","2011",126299
"23 Jämtlands län","2012",126201
"23 Jämtlands län","2013",126461
"23 Jämtlands län","2014",126765
"23 Jämtlands län","2015",127376
"23 Jämtlands län","2016",128673
"23 Jämtlands län","2017",129806
"23 Jämtlands län","2018",130280
"23 Jämtlands län","2019",130810
"23 Jämtlands län","2020",131155
"23 Jämtlands län","2021",132054
"23 Jämtlands län","2022",132670
"23 Jämtlands län","2023",132572
"24 Västerbottens län","1991",253835
"24 Västerbottens län","1992",255987
"24 Västerbottens län","1993",258171
"24 Västerbottens län","1994",259775
"24 Västerbottens län","1995",260472
"24 Västerbottens län","1996",259895
"24 Västerbottens län","1997",259163
"24 Västerbottens län","1998",257803
"24 Västerbottens län","1999",256710
"24 Västerbottens län","2000",255640
"24 Västerbottens län","2001",254818
"24 Västerbottens län","2002",255230
"24 Västerbottens län","2003",255956
"24 Västerbottens län","2004",256875
"24 Västerbottens län","2005",257652
"24 Västerbottens län","2006",257581
"24 Västerbottens län","2007",257593
"24 Västerbottens län","2008",257812
"24 Västerbottens län","2009",258548
"24 Västerbottens län","2010",259286
"24 Västerbottens län","2011",259667
"24 Västerbottens län","2012",260217
"24 Västerbottens län","2013",261112
"24 Västerbottens län","2014",262362
"24 Västerbottens län","2015",263378
"24 Västerbottens län","2016",265881
"24 Västerbottens län","2017",268465
"24 Västerbottens län","2018",270154
"24 Västerbottens län","2019",271736
"24 Västerbottens län","2020",273192
"24 Västerbottens län","2021",274563
"24 Västerbottens län","2022",276295
"24 Västerbottens län","2023",278729
"25 Norrbottens län","1991",264834
"25 Norrbottens län","1992",266089
"25 Norrbottens län","1993",267092
"25 Norrbottens län","1994",267648
"25 Norrbottens län","1995",266011
"25 Norrbottens län","1996",264320
"25 Norrbottens län","1997",262317
"25 Norrbottens län","1998",260473
"25 Norrbottens län","1999",258094
"25 Norrbottens län","2000",256238
"25 Norrbottens län","2001",254733
"25 Norrbottens län","2002",253632
"25 Norrbottens län","2003",252874
"25 Norrbottens län","2004",252585
"25 Norrbottens län","2005",251740
"25 Norrbottens län","2006",251886
"25 Norrbottens län","2007",250602
"25 Norrbottens län","2008",249677
"25 Norrbottens län","2009",249019
"25 Norrbottens län","2010",248609
"25 Norrbottens län","2011",248545
"25 Norrbottens län","2012",248637
"25 Norrbottens län","2013",249436
"25 Norrbottens län","2014",249987
"25 Norrbottens län","2015",249733
"25 Norrbottens län","2016",250570
"25 Norrbottens län","2017",251295
"25 Norrbottens län","2018",250497
"25 Norrbottens län","2019",250093
"25 Norrbottens län","2020",249614
"25 Norrbottens län","2021",249693
"25 Norrbottens län","2022",249177
"25 Norrbottens län","2023",248480
